"","MS245","MS374","MS371","MS348","MS352"
"P07900;Q14568;Q58FG0;Q58FG1;Q92538;Q9NQH7",21.9736364201762,21.9698185153269,21.3720258867383,22.1874893523222,22.5595653807688
"P21333",19.5003139037791,18.8194750608779,20.0731556721217,19.5311710873204,19.4800712492063
"P07195;P07864",23.2563553786463,23.358832821287,23.4662001644213,23.8000239679821,23.573365419548
"P11217",20.5256081142996,20.8610766305405,19.7752815341427,20.485716234174,20.5071325613476
"P40939",20.2208387042778,20.3317738790224,20.1643303098763,20.8607618464271,20.4944423312847
"Q12860;P20591",20.2171074896795,20.2932962211814,20.3556648524665,20.3420514991153,20.0175679350002
"P25705",21.8262909436374,22.3751713625976,21.9211803536562,21.6561296378768,21.9263750028803
"Q96KP4",21.204111900932,21.2710181432746,20.9765954575161,21.4568972418246,21.3518811987024
"P08758",22.7962174648718,22.6693066481575,23.1624999437859,22.8722102728775,22.2026752313735
"P22314",20.0946960783691,20.2776524682824,19.8631973885268,20.4703052312014,20.1316202910809
"P50993;O14983;P20648;P54707;Q13733",21.4387681717805,21.5886632476051,21.2864679485166,21.5219312844688,21.4535188642144
"P13611",21.951694380192,21.8693461770519,21.6498303714129,21.8935558388373,21.8668471596827
"P62258",21.8645167147072,21.7922498836621,21.7370060889541,22.3058994707581,21.9920344800147
"P06744;Q8N196",21.261082407854,21.3107345795767,21.1540353212108,21.4065655348426,21.4611894704447
"P55072;Q8IYT4",20.4365362904202,20.4725560572577,20.5086799900324,20.5093606673761,20.5871729135874
"Q14195;Q14117",22.4899935932898,22.5221589512824,22.7457178039975,23.4035424489847,22.6055485894213
"P27338",21.5376569385219,21.330922130979,22.0677519952507,22.1655802064259,22.1506960180692
"P26038;Q6STE5",20.5692949176593,20.4824414053541,21.0355302119099,21.1754460456419,20.8064879578916
"P46459",19.5291226466317,20.0134806897375,19.5807974014758,19.4686636344149,19.6767784220396
"P04075",22.4577072672275,22.6577543574856,22.6558638612856,22.7350260859663,22.6398929650275
"P11142",21.7346256139917,21.8438164981566,21.6875396740553,21.9864382596712,21.9866956072502
"P01009",21.910724534944,22.3647061914928,21.1545086290223,20.5606305881443,21.4391441104307
"Q86VP6",19.3417648777598,19.4038241421162,19.4037278215245,19.5706184446191,19.4975186564346
"Q16352",20.2691818275535,20.8971665849453,20.2150751065401,19.7038248246592,20.4201104116044
"Q9Y617",21.0671518180693,20.8495345228651,21.3532073243867,21.8824983967739,21.9908748196219
"P30041",22.3245492435484,21.8620805393127,22.7905816359312,22.4589082685841,21.8073101945155
"P51178;P24928;Q9UPR0",19.7492540933175,19.4014174975093,19.9838328236384,20.3869486724155,19.9764075076783
"P31150;A5D8W1",21.7621261287128,21.8958405603532,21.9105553544263,22.3703363265934,22.135160933748
"P13591",21.020025748764,20.9467940360746,21.1593904896351,21.3393388412557,21.1546388503145
"P36871",20.2789385191336,20.3343190303163,20.6011892937226,20.6407867074295,20.4201935395533
